timestamp,instance,rule,seed,makespan,job_id,is_dynamic,arrival_time,op_index,machine_type_required,eligible_machine_count,min_proc_time,max_proc_time,mean_proc_time,proc_time_spread,travel_time
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,0,Mill,2,21.7,26.0,23.9,4.3,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,1,Weld,2,26.2,31.5,28.8,5.3,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,2,Mill,2,19.9,27.8,23.8,8.0,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,3,Weld,2,22.0,27.5,24.8,5.5,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,0,Weld,2,23.6,26.4,25.0,2.8,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,1,Assemble,2,17.4,28.6,23.0,11.1,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,2,Inspect,2,18.0,25.1,21.6,7.1,8.1
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,3,Weld,2,26.2,32.8,29.5,6.6,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,4,Inspect,2,26.2,32.4,29.3,6.2,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,0,Weld,2,13.6,30.1,21.8,16.5,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,1,Inspect,2,17.6,32.8,25.2,15.3,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,2,Weld,2,30.4,31.7,31.0,1.3,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,3,Assemble,2,27.4,32.7,30.1,5.3,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,4,Mill,2,25.0,33.3,29.1,8.3,3.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,8,1,2264.4,0,Weld,2,21.7,29.6,25.6,7.9,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,8,1,2264.4,1,Inspect,2,26.2,27.8,27.0,1.5,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,8,1,2264.4,2,Lathe,2,25.4,27.3,26.3,1.9,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,9,1,2464.4,0,Mill,2,16.6,21.0,18.8,4.4,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,9,1,2464.4,1,Lathe,2,24.1,24.4,24.3,0.3,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,9,1,2464.4,2,Weld,2,24.3,33.8,29.1,9.5,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,0,Assemble,2,26.5,29.9,28.2,3.4,25.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,1,Inspect,2,14.8,23.4,19.1,8.6,8.1
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,2,Weld,2,19.1,19.6,19.3,0.4,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,3,Inspect,2,22.1,27.3,24.7,5.2,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,0,Mill,2,17.9,23.1,20.5,5.2,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,1,Weld,2,20.7,25.5,23.1,4.7,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,2,Lathe,2,22.0,31.0,26.5,8.9,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,3,Mill,2,21.6,36.2,28.9,14.6,21.2
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,4,Lathe,2,19.0,30.6,24.8,11.6,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,0,Lathe,2,17.4,24.9,21.1,7.6,27.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,1,Weld,2,20.9,28.8,24.8,7.9,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,2,Lathe,2,22.5,27.4,25.0,4.9,21.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,3,Assemble,2,19.4,31.3,25.4,11.8,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,0,Lathe,2,17.9,34.0,25.9,16.1,27.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,1,Mill,2,28.4,28.8,28.6,0.4,21.2
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,2,Weld,2,23.7,26.2,25.0,2.4,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,3,Lathe,2,25.2,26.0,25.6,0.9,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,4,Weld,2,29.4,32.6,31.0,3.1,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,0,Inspect,2,22.4,27.3,24.8,4.9,31.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,1,Weld,2,21.6,24.0,22.8,2.4,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,2,Inspect,2,20.5,22.3,21.4,1.8,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,3,Mill,2,23.5,30.6,27.0,7.1,17.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,15,1,4264.4,0,Lathe,2,26.8,27.7,27.3,0.9,27.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,15,1,4264.4,1,Weld,2,23.6,29.1,26.4,5.6,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,15,1,4264.4,2,Mill,2,16.6,22.8,19.7,6.2,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,0,Weld,2,16.3,27.0,21.6,10.7,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,1,Mill,2,20.2,28.7,24.5,8.5,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,2,Lathe,2,25.2,26.8,26.0,1.5,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,3,Assemble,2,24.1,27.4,25.8,3.2,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,0,Weld,2,18.2,30.3,24.2,12.2,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,1,Mill,2,27.6,31.4,29.5,3.8,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,2,Weld,2,24.6,26.6,25.6,2.0,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,3,Assemble,2,21.8,35.4,28.6,13.6,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,1,0,0.0,0,Mill,2,27.9,29.4,28.7,1.4,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,1,0,0.0,1,Lathe,2,23.3,30.8,27.1,7.4,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,1,0,0.0,2,Inspect,2,17.9,24.6,21.3,6.7,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,2,1,131.1,0,Inspect,2,25.0,27.7,26.3,2.7,30.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,2,1,131.1,1,Weld,2,27.4,32.9,30.2,5.5,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,2,1,131.1,2,Assemble,2,22.4,30.5,26.4,8.0,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,3,1,631.1,0,Inspect,2,21.3,27.8,24.5,6.5,30.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,3,1,631.1,1,Mill,2,14.5,27.4,20.9,12.9,17.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,3,1,631.1,2,Inspect,2,24.1,25.7,24.9,1.5,8.1
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,0,Assemble,2,25.2,31.8,28.5,6.6,25.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,1,Lathe,2,19.0,26.8,22.9,7.8,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,2,Assemble,2,26.5,34.9,30.7,8.4,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,3,Weld,2,21.7,25.0,23.3,3.4,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,4,Assemble,2,18.4,28.8,23.6,10.4,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,0,Mill,2,21.7,26.0,23.9,4.3,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,1,Weld,2,26.2,31.5,28.8,5.3,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,2,Mill,2,19.9,27.8,23.8,8.0,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,5,1,1331.1,3,Weld,2,22.0,27.5,24.8,5.5,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,0,Weld,2,23.6,26.4,25.0,2.8,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,1,Assemble,2,17.4,28.6,23.0,11.1,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,2,Inspect,2,18.0,25.1,21.6,7.1,8.1
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,3,Weld,2,26.2,32.8,29.5,6.6,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,6,1,1797.8,4,Inspect,2,26.2,32.4,29.3,6.2,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,0,Weld,2,13.6,30.1,21.8,16.5,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,1,Inspect,2,17.6,32.8,25.2,15.3,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,2,Weld,2,30.4,31.7,31.0,1.3,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,3,Assemble,2,27.4,32.7,30.1,5.3,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,7,1,2164.4,4,Mill,2,25.0,33.3,29.1,8.3,3.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,8,1,2264.4,0,Weld,2,21.7,29.6,25.6,7.9,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,8,1,2264.4,1,Inspect,2,26.2,27.8,27.0,1.5,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,8,1,2264.4,2,Lathe,2,25.4,27.3,26.3,1.9,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,9,1,2464.4,0,Mill,2,16.6,21.0,18.8,4.4,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,9,1,2464.4,1,Lathe,2,24.1,24.4,24.3,0.3,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,9,1,2464.4,2,Weld,2,24.3,33.8,29.1,9.5,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,0,Assemble,2,26.5,29.9,28.2,3.4,25.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,1,Inspect,2,14.8,23.4,19.1,8.6,8.1
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,2,Weld,2,19.1,19.6,19.3,0.4,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,10,1,2931.1,3,Inspect,2,22.1,27.3,24.7,5.2,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,0,Mill,2,17.9,23.1,20.5,5.2,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,1,Weld,2,20.7,25.5,23.1,4.7,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,2,Lathe,2,22.0,31.0,26.5,8.9,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,3,Mill,2,21.6,36.2,28.9,14.6,21.2
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,11,1,3031.1,4,Lathe,2,19.0,30.6,24.8,11.6,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,0,Lathe,2,17.4,24.9,21.1,7.6,27.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,1,Weld,2,20.9,28.8,24.8,7.9,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,2,Lathe,2,22.5,27.4,25.0,4.9,21.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,12,1,3397.8,3,Assemble,2,19.4,31.3,25.4,11.8,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,0,Lathe,2,17.9,34.0,25.9,16.1,27.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,1,Mill,2,28.4,28.8,28.6,0.4,21.2
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,2,Weld,2,23.7,26.2,25.0,2.4,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,3,Lathe,2,25.2,26.0,25.6,0.9,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,13,1,3764.4,4,Weld,2,29.4,32.6,31.0,3.1,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,0,Inspect,2,22.4,27.3,24.8,4.9,31.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,1,Weld,2,21.6,24.0,22.8,2.4,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,2,Inspect,2,20.5,22.3,21.4,1.8,4.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,14,1,3964.4,3,Mill,2,23.5,30.6,27.0,7.1,17.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,15,1,4264.4,0,Lathe,2,26.8,27.7,27.3,0.9,27.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,15,1,4264.4,1,Weld,2,23.6,29.1,26.4,5.6,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,15,1,4264.4,2,Mill,2,16.6,22.8,19.7,6.2,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,0,Weld,2,16.3,27.0,21.6,10.7,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,1,Mill,2,20.2,28.7,24.5,8.5,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,2,Lathe,2,25.2,26.8,26.0,1.5,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,16,1,4531.1,3,Assemble,2,24.1,27.4,25.8,3.2,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,0,Assemble,2,23.1,28.1,25.6,5.0,25.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,1,Lathe,2,26.2,27.5,26.8,1.3,4.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,2,Weld,2,17.1,25.8,21.5,8.7,4.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,3,Assemble,2,21.0,26.9,24.0,5.8,19.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,0,Weld,2,21.0,22.0,21.5,0.9,29.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,1,Lathe,2,25.5,28.2,26.9,2.7,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,2,Assemble,2,16.9,19.4,18.2,2.5,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,3,Mill,2,17.5,18.6,18.0,1.1,3.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,0,Weld,2,17.2,27.6,22.4,10.4,29.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,1,Assemble,2,17.8,33.0,25.4,15.2,19.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,2,Inspect,2,27.2,29.2,28.2,2.1,8.1
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,3,Lathe,2,13.5,32.2,22.9,18.7,19.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,3,1,666.7,0,Mill,2,20.3,22.7,21.5,2.4,31.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,3,1,666.7,1,Assemble,2,28.3,31.0,29.6,2.7,3.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,3,1,666.7,2,Weld,2,27.8,28.7,28.2,1.0,6.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,3,1,666.7,3,Lathe,2,26.0,27.8,26.9,1.8,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,3,1,666.7,4,Assemble,2,18.9,24.7,21.8,5.7,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,4,1,733.3,0,Lathe,2,24.2,26.3,25.3,2.1,27.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,4,1,733.3,1,Mill,2,21.8,33.2,27.5,11.3,21.2
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,4,1,733.3,2,Inspect,2,25.6,31.6,28.6,6.0,8.1
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,5,1,833.3,0,Inspect,2,23.0,28.1,25.5,5.1,30.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,5,1,833.3,1,Assemble,2,21.4,23.6,22.5,2.2,17.8
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,5,1,833.3,2,Lathe,2,22.4,29.6,26.0,7.2,4.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,5,1,833.3,3,Assemble,2,23.4,29.2,26.3,5.9,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,5,1,833.3,4,Inspect,2,23.8,24.7,24.2,0.8,8.1
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,6,1,966.7,0,Mill,2,27.0,28.8,27.9,1.8,25.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,6,1,966.7,1,Weld,2,26.2,27.7,27.0,1.5,6.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,6,1,966.7,2,Inspect,2,24.0,27.2,25.6,3.3,4.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,6,1,966.7,3,Assemble,2,20.5,29.5,25.0,9.0,17.8
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,7,1,1466.7,0,Assemble,2,17.1,30.7,23.9,13.6,25.5
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,7,1,1466.7,1,Weld,2,27.8,28.0,27.9,0.2,6.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,7,1,1466.7,2,Assemble,2,24.1,24.5,24.3,0.5,19.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,8,1,1933.3,0,Mill,2,23.9,27.3,25.6,3.3,25.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,8,1,1933.3,1,Lathe,2,19.3,24.2,21.7,4.9,4.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,8,1,1933.3,2,Inspect,2,10.7,24.1,17.4,13.5,6.4
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,8,1,1933.3,3,Weld,2,27.1,27.8,27.4,0.7,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,0,Assemble,2,23.1,28.1,25.6,5.0,25.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,1,Lathe,2,26.2,27.5,26.8,1.3,4.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,2,Weld,2,17.1,25.8,21.5,8.7,4.7
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,0,0,0.0,3,Assemble,2,21.0,26.9,24.0,5.8,19.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,0,Weld,2,21.0,22.0,21.5,0.9,29.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,1,Lathe,2,25.5,28.2,26.9,2.7,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,2,Assemble,2,16.9,19.4,18.2,2.5,21.3
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,1,0,0.0,3,Mill,2,17.5,18.6,18.0,1.1,3.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,0,Weld,2,17.2,27.6,22.4,10.4,29.0
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,1,Assemble,2,17.8,33.0,25.4,15.2,19.6
2026-06-13 16:59:41,s_10m_dynamic,LPT_MMUR,43,2766.67,2,1,433.3,2,Inspect,2,27.2,29.2,28.2,2.1,8.1
